2023-04-29 09:41:00 install libgmp10:amd64 <none> 2:6.2.1+dfsg-1+deb11u1
2023-04-29 09:41:00 status half-installed libgmp10:amd64 2:6.2.1+dfsg-1+deb11u1
2023-04-29 09:41:00 status unpacked libgmp10:amd64 2:6.2.1+dfsg-1+deb11u1
2023-04-29 09:41:00 install coreutils:amd64 <none> 8.32-4+b1
2023-04-29 09:41:00 status half-installed coreutils:amd64 8.32-4+b1
2023-04-29 09:41:00 status unpacked coreutils:amd64 8.32-4+b1
2023-04-29 09:41:00 install mawk:amd64 <none> 1.3.4.20200120-2
2023-04-29 09:41:00 status half-installed mawk:amd64 1.3.4.20200120-2
2023-04-29 09:41:00 status unpacked mawk:amd64 1.3.4.20200120-2
2023-04-29 09:41:00 install base-files:amd64 <none> 11.1+deb11u6
2023-04-29 09:41:00 status half-installed base-files:amd64 11.1+deb11u6
2023-04-29 09:41:00 status unpacked base-files:amd64 11.1+deb11u6
2023-04-29 09:41:00 install libtinfo6:amd64 <none> 6.2+20201114-2
2023-04-29 09:41:00 status half-installed libtinfo6:amd64 6.2+20201114-2
2023-04-29 09:41:00 status unpacked libtinfo6:amd64 6.2+20201114-2
2023-04-29 09:41:00 install bash:amd64 <none> 5.1-2+deb11u1
2023-04-29 09:41:00 status half-installed bash:amd64 5.1-2+deb11u1
2023-04-29 09:41:01 status unpacked bash:amd64 5.1-2+deb11u1
2023-04-29 09:41:01 install libdebconfclient0:amd64 <none> 0.260
2023-04-29 09:41:01 status half-installed libdebconfclient0:amd64 0.260
2023-04-29 09:41:01 status unpacked libdebconfclient0:amd64 0.260
2023-04-29 09:41:01 upgrade base-passwd:amd64 3.5.51 3.5.51
2023-04-29 09:41:01 status half-configured base-passwd:amd64 3.5.51
2023-04-29 09:41:01 status unpacked base-passwd:amd64 3.5.51
2023-04-29 09:41:01 status half-installed base-passwd:amd64 3.5.51
2023-04-29 09:41:01 status unpacked base-passwd:amd64 3.5.51
2023-04-29 09:41:01 install lsb-base:all <none> 11.1.0
2023-04-29 09:41:01 status half-installed lsb-base:all 11.1.0
2023-04-29 09:41:01 status unpacked lsb-base:all 11.1.0
2023-04-29 09:41:01 install sysvinit-utils:amd64 <none> 2.96-7+deb11u1
2023-04-29 09:41:01 status half-installed sysvinit-utils:amd64 2.96-7+deb11u1
2023-04-29 09:41:01 status unpacked sysvinit-utils:amd64 2.96-7+deb11u1
2023-04-29 09:41:01 install gzip:amd64 <none> 1.10-4+deb11u1
2023-04-29 09:41:01 status half-installed gzip:amd64 1.10-4+deb11u1
2023-04-29 09:41:01 status unpacked gzip:amd64 1.10-4+deb11u1
2023-04-29 09:41:01 install sed:amd64 <none> 4.7-1
2023-04-29 09:41:01 status half-installed sed:amd64 4.7-1
2023-04-29 09:41:01 status unpacked sed:amd64 4.7-1
2023-04-29 09:41:01 install libgpg-error0:amd64 <none> 1.38-2
2023-04-29 09:41:01 status half-installed libgpg-error0:amd64 1.38-2
2023-04-29 09:41:01 status unpacked libgpg-error0:amd64 1.38-2
2023-04-29 09:41:01 install libgcrypt20:amd64 <none> 1.8.7-6
2023-04-29 09:41:01 status half-installed libgcrypt20:amd64 1.8.7-6
2023-04-29 09:41:01 status unpacked libgcrypt20:amd64 1.8.7-6
2023-04-29 09:41:01 install liblz4-1:amd64 <none> 1.9.3-2
2023-04-29 09:41:01 status half-installed liblz4-1:amd64 1.9.3-2
2023-04-29 09:41:01 status unpacked liblz4-1:amd64 1.9.3-2
2023-04-29 09:41:01 install libzstd1:amd64 <none> 1.4.8+dfsg-2.1
2023-04-29 09:41:01 status half-installed libzstd1:amd64 1.4.8+dfsg-2.1
2023-04-29 09:41:01 status unpacked libzstd1:amd64 1.4.8+dfsg-2.1
2023-04-29 09:41:01 install libsystemd0:amd64 <none> 247.3-7+deb11u1
2023-04-29 09:41:01 status half-installed libsystemd0:amd64 247.3-7+deb11u1
2023-04-29 09:41:01 status unpacked libsystemd0:amd64 247.3-7+deb11u1
2023-04-29 09:41:01 install bsdutils:amd64 <none> 1:2.36.1-8+deb11u1
2023-04-29 09:41:01 status half-installed bsdutils:amd64 1:2.36.1-8+deb11u1
2023-04-29 09:41:01 status unpacked bsdutils:amd64 1:2.36.1-8+deb11u1
2023-04-29 09:41:01 install libaudit-common:all <none> 1:3.0-2
2023-04-29 09:41:01 status half-installed libaudit-common:all 1:3.0-2
2023-04-29 09:41:01 status unpacked libaudit-common:all 1:3.0-2
2023-04-29 09:41:01 install libcap-ng0:amd64 <none> 0.7.9-2.2+b1
2023-04-29 09:41:01 status half-installed libcap-ng0:amd64 0.7.9-2.2+b1
2023-04-29 09:41:01 status unpacked libcap-ng0:amd64 0.7.9-2.2+b1
2023-04-29 09:41:01 install libaudit1:amd64 <none> 1:3.0-2
2023-04-29 09:41:01 status half-installed libaudit1:amd64 1:3.0-2
2023-04-29 09:41:01 status unpacked libaudit1:amd64 1:3.0-2
2023-04-29 09:41:01 install libpam0g:amd64 <none> 1.4.0-9+deb11u1
2023-04-29 09:41:01 status half-installed libpam0g:amd64 1.4.0-9+deb11u1
2023-04-29 09:41:01 status unpacked libpam0g:amd64 1.4.0-9+deb11u1
2023-04-29 09:41:01 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.8
2023-04-29 09:41:01 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.8
2023-04-29 09:41:01 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.8
2023-04-29 09:41:01 install libcom-err2:amd64 <none> 1.46.2-2
2023-04-29 09:41:01 status half-installed libcom-err2:amd64 1.46.2-2
